Journal Date,Reference Number,Journal Number Prefix,Journal Number Suffix,Notes,Journal Type,Currency,Account,Description,Contact Name,Debit,Credit,Tax Name,Tax Type,Tax Percentage,Exemption Code,Tax Authority,Item Tax Exemption Reason,Project Name
04/01/2023,txn_3Ms1KCJKPAk5DCf91gCf3TAk,,1,charge,both,USD,Stripe,charge,,14.11,,,,,,,,
04/01/2023,txn_3Ms1KCJKPAk5DCf91gCf3TAk,,1,charge,both,USD,Income from Donations,charge,,,14.11,,,,,,,
04/01/2023,txn_3Ms1KCJKPAk5DCf91gCf3TAk,,2,charge,both,USD,Stripe Charges,charge,,0.89,,,,,,,,
04/01/2023,txn_3Ms1KCJKPAk5DCf91gCf3TAk,,2,charge,both,USD,Income from Donations,charge,,,0.89,,,,,,,
04/01/2023,txn_3Ms9FPJKPAk5DCf91SZlEcCu,,3,charge,both,USD,Stripe,charge,,4.5,,,,,,,,
04/01/2023,txn_3Ms9FPJKPAk5DCf91SZlEcCu,,3,charge,both,USD,Income from Donations,charge,,,4.5,,,,,,,
04/01/2023,txn_3Ms9FPJKPAk5DCf91SZlEcCu,,4,charge,both,USD,Stripe Charges,charge,,0.5,,,,,,,,
04/01/2023,txn_3Ms9FPJKPAk5DCf91SZlEcCu,,4,charge,both,USD,Income from Donations,charge,,,0.5,,,,,,,
04/02/2023,txn_3MsHYcJKPAk5DCf9075yHdIA,,5,charge,both,USD,Stripe,charge,,47.75,,,,,,,,
04/02/2023,txn_3MsHYcJKPAk5DCf9075yHdIA,,5,charge,both,USD,Income from SaaS,charge,,,47.75,,,,,,,
04/02/2023,txn_3MsHYcJKPAk5DCf9075yHdIA,,6,charge,both,USD,Stripe Charges,charge,,2.25,,,,,,,,
04/02/2023,txn_3MsHYcJKPAk5DCf9075yHdIA,,6,charge,both,USD,Income from SaaS,charge,,,2.25,,,,,,,
04/02/2023,txn_3MsMb6JKPAk5DCf91kC88tJv,,7,charge,both,USD,Stripe,charge,,4.5,,,,,,,,
04/02/2023,txn_3MsMb6JKPAk5DCf91kC88tJv,,7,charge,both,USD,Income from Donations,charge,,,4.5,,,,,,,
04/02/2023,txn_3MsMb6JKPAk5DCf91kC88tJv,,8,charge,both,USD,Stripe Charges,charge,,0.5,,,,,,,,
04/02/2023,txn_3MsMb6JKPAk5DCf91kC88tJv,,8,charge,both,USD,Income from Donations,charge,,,0.5,,,,,,,
04/02/2023,txn_3MsQnNJKPAk5DCf91AD6xpEM,,9,charge,both,USD,Stripe,charge,,47.75,,,,,,,,
04/02/2023,txn_3MsQnNJKPAk5DCf91AD6xpEM,,9,charge,both,USD,Income from SaaS,charge,,,47.75,,,,,,,
04/02/2023,txn_3MsQnNJKPAk5DCf91AD6xpEM,,10,charge,both,USD,Stripe Charges,charge,,2.25,,,,,,,,
04/02/2023,txn_3MsQnNJKPAk5DCf91AD6xpEM,,10,charge,both,USD,Income from SaaS,charge,,,2.25,,,,,,,
04/02/2023,txn_3MsUOzJKPAk5DCf91JoOXJsC,,11,charge,both,USD,Stripe,charge,,193.9,,,,,,,,
04/02/2023,txn_3MsUOzJKPAk5DCf91JoOXJsC,,11,charge,both,USD,Income from SaaS,charge,,,193.9,,,,,,,
04/02/2023,txn_3MsUOzJKPAk5DCf91JoOXJsC,,12,charge,both,USD,Stripe Charges,charge,,6.1,,,,,,,,
04/02/2023,txn_3MsUOzJKPAk5DCf91JoOXJsC,,12,charge,both,USD,Income from SaaS,charge,,,6.1,,,,,,,
04/02/2023,txn_3MsXmzJKPAk5DCf90lM5NWx9,,13,charge,both,USD,Stripe,charge,,48.25,,,,,,,,
04/02/2023,txn_3MsXmzJKPAk5DCf90lM5NWx9,,13,charge,both,USD,Income from SaaS,charge,,,48.25,,,,,,,
04/02/2023,txn_3MsXmzJKPAk5DCf90lM5NWx9,,14,charge,both,USD,Stripe Charges,charge,,1.75,,,,,,,,
04/02/2023,txn_3MsXmzJKPAk5DCf90lM5NWx9,,14,charge,both,USD,Income from SaaS,charge,,,1.75,,,,,,,
04/02/2023,txn_1MsGoKJKPAk5DCf9V7lARWcY,,15,payout,both,USD,Uncategorized Revenue - Stripe,payout,,50.71,,,,,,,,
04/02/2023,txn_1MsGoKJKPAk5DCf9V7lARWcY,,15,payout,both,USD,Stripe,payout,,,50.71,,,,,,,
